"Action","Ação"
"Actions","Ações"
"Add email","Adicionar e-mail"
"Add Rule","Adicionar Regra"
"Advanced newsletter","Newsletter avançada"
"After","Depois"
"All groups","Todos os grupos"
"All links","Todos os links"
"All types","Todos os tipos"
"Are you sure?","Você tem certeza?"
"Are you sure you want do this?","Você tem certeza que quer fazer isso?"
"Are you sure you want to delete the email ?","Você tem certeza que quer excluir o e-mail ?"
"Are you sure you want to delete the email?","Você tem certeza que quer excluir o e-mail?"
"Are you sure you want to send the email immediately ?","Você tem certeza que quer mandar o e-mail imediatamente ?"
"before","antes"
"Before","Antes"
"Cancel","Cancelar"
"Cancellation events","Eventos de cancelamento"
"Cancelled","Cancelado"
"Cannot find data to save","Não foi possível encontrar dados para salvar"
"Can\'t load coupon by given ID","Não foi possível carregar um cupom com o ID"
"Can\'t remove primary coupon","Não foi possível remover o cupom primário"
"Cart ID","ID do carrinho"
"Change status","Alterar status"
"Close window","Fechar janela"
"Complete abandoned carts (order placed)","Completar carrinhos abandonados (pedido colocado)"
"Could not send the email","Não foi possível enviar o e-mail"
"Could not unsubscribe %s","Não foi possivel cancelar a assinatura de %s"
"Coupon Code","Código do Cupom"
"Coupon Code Prefix","Prefixo do Código do Cupom"
"Coupon expire days value can\'t be less than 1","Prazo de expiração do cupom não pode ser menor que 1"
"Coupon expire days value must be integer and equals or greater than 1","Prazo de expiração do cupom precisa ser inteiro e maior que 1"
"Coupon expires after, days","O cupom expira após, dias"
"Coupons","Cupons"
"Coupon "%s" successfully removed","O cupom "%s" foi excluído com sucesso"
"Created at","Criado em"
"Customer birthday","Aniversário do cliente"
"Customer came back by link sent","Cliente que retornou pelo link enviado"
"Customer email","E-mail do cliente"
"Customer group changed","O grupo do cliente foi alterado"
"Customer groups","Grupos de clientes"
"Customer ID","ID do cliente"
"Customer last activity","Última atividade do cliente"
"Customer logged in","Cliente logou em"
"Customer placed a new order","O cliente colocou um novo pedido"
"day(s)","dia(s)"
"Days","Dias"
"Delete","Excluir"
"Delete Rule","Excluir Regra"
"Disabled","Desativado"
"Display statistics","Exibir estatísticas"
"Doesn\'t matter","Não importa"
"Edit","Editar"
"Edit Rule '%s'","Edita Regra '%s'"
"Email chain","Cadeia de e-mails (Email chain)"
"Email does not longer exist","O e-mail não existe mais"
"Email %s was successfully unsubscribed","A assinatura para o e-mail %s foi cancelada com sucesso"
"Email Templates","Templates de E-mail"
"Email was successfully cancelled","O e-mail foi cancelado com sucesso"
"Email was successfully deleted","O e-mail foi excluído com sucesso"
"Email was successfully sent","E-mail enviado com sucesso"
"Enable coupons for this rule","Habilitar cupons para essa regra"
"Enabled","Ativado"
"Enable logging","Ativar registro de logs"
"Equals or greater than","Igual ou maior que"
"Equals or less than","Igual ou menor que"
"Equals to","Igual a"
"Error sending test message","Erro ao enviar a mensagem"
"Error: %s","Erro: %s"
"Event","Evento"
"Event type","Tipo de evento"
"Excluded Categories","Categorias não incluídas"
"Expiration Date","Data de Expiração"
"Failed","Falha"
"Follow Up Email","E-mail de Follow Up"
"Follow Up Email Link Tracking","Link para o rastreio do e-mail de Follow Up"
"Follow Up Email Preview","Visualizar e-mail de Follow Up"
"Follow Up Email Queue","Fila de e-mails de Follow Up"
"Follow Up Email template variables demo","Demo das variáveis no template de e-mail de Follow Up"
"Follow Up Rules Manager","Gerenciar regras de Follow Up"
"FUE Generated Coupons","Cupons gerados para o e-mail de Follow Up"
"General","Geral"
"General settings","Configurações gerais"
"Greater than","Maior que"
"hour(s)","hora(s)"
"Hours","Horas"
"id","id"
"ID isn\'t specified","ID não especificado"
"If "No" is selected, email will be sent to recipients specified in the "Send copy to email" field only","Se "Não" estiver selecionado, o e-mai será enviado apenas para os destinatários especificados no campo "Enviar cópia para o e-mail""
"Incomplete abandoned carts (order not placed)","Carrinhos abandonados incompletos (pedidos não concluídos)"
"Item was successfully saved","O item foi salvo com sucesso"
"Less than","Menor que"
"Link visited at","Link visitado em"
"Loading...","Carregando..."
"Manage Coupons","Gerenciar cupons"
"Market Segmentation Suite","Market Segmentation Suite"
"Market Segmentation Suite Rule","Regras de Segmentação de Mercado"
"Minutes","Minutos"
"minutes(s)","minutos(s)"
"New abandoned cart appeared","Novo carrinho abandonado"
"New customer signup","Novo cadastro de cliente"
"Newsletter Subscribers","Assinantes da Newsletter"
"Newsletter Templates","Templates da Newsletter"
"No","Não"
"No resume code specified","Sem um código de recuperação especificado (No resume code specified)"
"Not equals to","Não é igual a"
"Not registered","Não registrado"
"Not sent yet","Ainda não enviado"
"Once selected event(s) happen they cancel email sending for the object","Quando o(s) evento(s) selecionado(s) acontecerem, eles cancelam o envio de e-mails para esse ação"
"Only active MSS rules are listed here","Apenas regras do MSS são listadas aqui"
"Order Grand Total","Total do Pedido"
"Order is active","O pedido está ativo"
"Order No","Order No (Order No)"
"Order obtained '%s' status","O pedido tem o status '%s'"
"Order #","Pedido #"
"Please select item(s)","Por favor selecione um item(s)"
"Please select template","Por favor, selecione o template"
"Preview","Visualizar"
"Product ID","ID do Produto"
"Product type","Tipo do Produto"
"Product was added to wishlist","O produto foi adicionado aos favoritos"
"Quote created at","Orçamento criado em"
"Quote grand total","Total do orçamento"
"Ready to go","Pronto para começar"
"Recipient email","E-mail do destinatário"
"Recipient name","Nome do destinatário"
"Redefines sender for this rule. Sender from the general settings is used by default","Redefinir remetente para essa regra. O remetente das configurações gerais é usado como padrão"
"Resume code","Restaurar código (Resume code)"
"right after","logo após"
"Rule Information","Informação da Regra"
"Rule","Regra"
"Sale amount","Total da Venda"
"Save And Continue Edit","Salvar e Continuar Editando"
"Save And Send Test Email","Salvar e Enviar E-mail de Testes"
"Save Rule","Salvar Regra"
"Scheduled at","Agendado em"
"Select statistics type","Selecione o tipo de estatísticas"
"--- Select Template ---","--- Selecione o Template ---"
"Send Copy","Enviar cópia"
"Send copy to email","Enviar cópia para o e-mail"
"Sender Details","Detalhes do Rementente"
"Sender email","E-mail do Remetente"
"Sender name","Nome do Remetente"
"Sender","Remetente"
"Send now","Enviar agora"
"Send only to newsletter subscribers","Enviar apenas para os assinantes da newsletter"
"Send only to subscribers of segments","Enviar apenas para os assinantes dos segmentos"
"Send","Enviar"
"Send Test Email","Enviar E-mail de Testes"
"Send test email to","Enviar e-mail de testes para"
"Sent at","Enviado em"
"Sent","Enviado"
"Separate e-mails by spaces, commas, or semicolons","Separe os e-mails por espaços, vírgulas ou ponto-e-vírgulas"
"Separate multiple SKUs by commas","Separe múltiplos SKUs por vírgulas"
"Seq. No","Seq. No (Seq. No)"
"Set the email status to \'Cancelled\' ?","Definir o status do e-mail como \'Cancelado\' ?"
"Shopping Cart Price Rule","Regra de Preço do Carrinho"
"Sign Up for Newsletter","Assinar a Newsletter"
"SKUs doesn\'t match","SKUs não coincidem"
"SKU","SKU"
"Status","Status"
"Stores & Product Types","Lojas & Tipos de Produtos"
"Store","Loja"
"Store View","Visão de Loja"
"Template","Template"
"Test email was successfully sent","O e-mail de testes foi enviado com sucesso"
"Test object IDs","Testar os IDs (Test object IDs)"
"Test recipient","Testar destinatário"
"The email of the customer","E-mail do cliente"
"The following symbols are allowed to be used in the \'Coupon Code Prefix\' field: a-z 0-9","Os seguintes caracteres podem ser usados no \'Prefixo do Código do Cupom\': a-z 0-9"
"The ID of the cart","O ID do carrinho"
"The ID of the customer","O ID do cliente"
"The ID of the product","o ID do produto"
"The ID of the wishlist","O ID dos favoritos"
"The Increment ID of the order","O Incremento do ID do pedido"
"The owner of this cart is not a registered customer","O dono desse carrinho não está registrado como cliente"
"The quantity of days in the chain is not a number","A quantidade de dias nessa cadeia não é um número"
"There is no registered customer with email","Não há um cliente registrado com esse e-mail"
"The resume code is used to authorize the customer when he/she comes back by the link sent in email","O código de reinício é usado para autorizar para autorizar um cliente quando ele retorna à loja através do link enviado por e-mail"
"There was a problem with the newsletter subscription","Houve um problema com a assinatura da newsletter"
"The rule does not exist","A regra não existe"
"The rule was successfully deleted","A regra foi excluída com sucesso"
"These addresses will be added to the BCC: fields of the emails generated by the rule","Esses endereços serão adicionados ao CCO: campos de e-mails gerados pela regra"
"This will be used by default as "From" in outgoing emails","Esse e-mail será usado como padrão no campo "De" nos e-mails enviados"
"Times Used","Vezes em que foi Utilizado"
"Title","Título"
"To send a test message you have to fill up the \'Test recipient\' field","Para enviar uma mensagem de testes você deve preencher o campo \'Destinatário de testes\'"
"Total of %d record(s) were successfully deleted","Total de %d registro(s) excluído(s) com sucesso"
"Total of %d record(s) were successfully updated","Total de %d registro(s) atualizado(s) com sucesso"
"Validate the block by MSS rule","Validar o bloco com a regra do MSS"
"View cart (if customer is registered)","Ver carrinho (se o cliente estiver registrado)"
"View customer (if registered)","Ver cliente (se registrado)"
"View email","Ver e-mail"
"View order","Ver pedido"
"View rule","Ver regra"
"Wishlist ID","ID dos Favoritos"
"Wishlist shared","meus Favoritos compartilhados"
"Wrong resume code specified","Código de reinício incorreto"
"Wrong unsubscription code specified","Código de assinatura incorreto"
"Yes","Sim"
"You have been subscribed to newsletters","Você assinou a newsletter com sucesso"
"Your account isn't confirmed","Sua conta não foi confirmada"
"Enable customer auto login","Ativar auto-login para o cliente"
"Incorrect e-mail for 'Test recipient'","E-mail para o 'Destinatário de Testes' incorreto"
"Rule active to","Regra ativa até"
"Rule active from","Regra ativa desde"
"Leave empty for unlimited usage","Deixe em branco para uso ilimitado"